Pixel Number,405 nm(ADC counts),450 nm(ADC counts),MercuryLamp(ADC counts)
186,315.03535,189.74355,191.76575
187,316.34405,190.53807,191.68443
188,315.72959,190.43223,191.94881
189,314.86985,190.24727,192.31764
190,316.27063,190.63964,192.03518
191,315.7639,191.25657,191.7507
192,315.05197,191.21519,192.55718
193,314.96567,190.8977,192.30729
194,315.49368,191.15204,192.64282
195,315.16512,192.04776,192.62982
196,314.8466,192.24612,193.04668
197,314.71888,192.76441,192.68298
198,315.50867,192.98324,192.72816
199,315.58594,193.81218,193.01084
200,315.53984,194.01951,193.53293
201,315.16328,194.84954,193.54096
202,316.01063,194.28074,193.22865
203,315.2865,194.92849,193.69018
204,315.61629,194.70074,194.21601
205,316.06613,195.3186,194.44312
206,316.49434,195.66797,194.25621
207,315.69128,196.58571,194.55349
208,315.674,196.11912,195.16078
209,316.0852,196.69058,195.33569
210,315.90931,197.27238,195.31531
211,314.98743,197.63319,195.05607
212,315.1589,197.06557,195.54659
213,315.30701,197.51671,194.95739
214,315.29326,197.56018,194.80711
215,314.59882,197.29071,194.90609
216,315.18781,197.10977,195.38433
217,315.54855,197.56824,195.21077
218,316.10683,197.43354,195.09092
219,316.03688,197.82938,195.30952
220,316.00267,197.10667,195.83558
221,315.89789,197.49972,195.89651
222,315.71291,197.39966,195.67416
223,314.87568,197.37009,195.65117
224,315.04132,196.56555,195.90285
225,315.34383,197.01104,195.65569
226,315.6278,197.48882,196.16196
227,314.92383,197.49774,195.90981
228,315.61643,198.188,196.28247
229,316.05811,198.22746,195.79234
230,316.55754,198.61212,195.73755
231,316.58275,198.98225,195.75097
232,316.63265,198.90188,196.21201
233,316.67897,198.93244,195.84721
234,316.58248,199.04401,195.87602
235,316.43743,198.91079,195.70239
236,316.59761,197.5413,195.95375
237,317.05511,197.40889,195.60922
238,316.69047,196.52668,195.48472
239,316.03349,196.57274,194.73044
240,316.54895,195.56135,194.65409
241,316.45958,195.94003,194.46697
242,316.22837,195.24089,194.21152
243,315.25658,195.03311,193.97176
244,315.49575,193.97936,193.88829
245,315.73493,194.20201,193.71793
246,315.12822,194.08925,193.53651
247,314.93258,194.30326,193.37628
248,314.53326,193.59634,193.59178
249,314.39436,193.31793,192.89354
250,314.23805,193.05059,192.97458
251,315.0016,193.50258,192.71722
252,315.19443,191.98678,193.27994
253,315.68689,191.96737,193.06476
254,315.71136,192.59327,192.83328
255,314.91578,192.37967,192.36711
256,315.84984,191.8309,192.4355
257,315.59592,191.82421,192.34223
258,315.56351,191.56887,192.11224
259,315.18408,191.29317,191.51317
260,314.73721,190.44059,191.27642
261,315.62577,190.71198,190.6352
262,315.27938,190.77299,190.27955
263,314.82581,190.27056,189.8292
264,315.61599,189.06861,190.12364
265,315.38803,189.02548,189.74761
266,316.17472,189.0023,189.27832
267,315.79384,189.08097,188.70052
268,316.29221,188.222,188.49802
269,316.67661,188.29515,187.68503
270,316.8024,188.24773,187.23417
271,316.00663,188.33887,187.07755
272,316.01407,187.3444,187.45397
273,316.2847,187.52167,187.42445
274,316.13276,187.33586,187.03136
275,315.16458,187.17255,187.18247
276,315.11058,186.08085,187.5583
277,314.63256,186.77924,186.724
278,314.81946,186.07152,186.21734
279,314.57224,186.34953,186.75526
280,313.51285,185.09911,186.91395
281,313.2259,184.99176,186.7747
282,313.40706,185.186,186.19861
283,312.69727,185.66018,185.76916
284,312.45449,184.57836,185.65202
285,313.08556,184.1521,185.5557
286,313.75617,184.0726,185.76609
287,313.14024,184.13417,186.15612
288,312.91532,183.20906,186.43238
289,313.46004,183.30446,185.67846
290,314.01591,183.68209,185.84885
291,313.0237,183.31155,186.14207
292,313.57527,182.86356,186.29275
293,313.73463,183.17399,186.06788
294,314.1873,183.182,186.24705
295,313.71086,183.17929,185.96745
296,314.57354,183.04265,186.59635
297,314.41062,183.01504,186.24776
298,314.66729,183.15117,186.36737
299,314.20115,183.66712,186.46986
300,314.24431,183.6413,186.5199
301,314.4209,183.91676,186.51073
302,314.60058,183.81994,186.69467
303,314.19429,184.36329,186.29791
304,314.71067,184.50389,186.59283
305,314.48463,185.00862,186.37392
306,313.79636,185.28646,186.37216
307,313.33494,185.00326,186.26737
308,313.90678,184.59909,187.02835
309,314.39486,184.78252,187.141
310,314.1648,185.07247,187.18917
311,314.0083,185.24681,187.29525
312,314.92414,185.7244,187.71334
313,314.9547,186.66211,187.47221
314,314.51005,186.27513,187.63728
315,314.31667,186.433,187.90445
316,314.45097,187.40752,188.41436
317,313.77946,188.32983,188.60335
318,313.3328,187.99656,188.83326
319,312.68582,188.72525,189.0276
320,313.22812,188.68104,189.40907
321,313.12907,189.61603,189.20576
322,313.2248,189.65079,189.47557
323,313.44099,190.11937,189.61446
324,313.58463,190.6752,190.03645
325,313.72102,191.17823,189.94346
326,312.70406,191.51386,190.12157
327,312.81396,191.56308,189.94428
328,313.26862,191.87603,190.85389
329,313.03433,191.73686,190.8877
330,312.63619,191.74263,190.89241
331,312.05556,191.93105,190.49681
332,312.4653,191.52626,190.99581
333,312.39704,192.12568,191.06643
334,312.47278,192.49189,191.38965
335,312.32598,192.41238,191.43493
336,312.87023,192.33659,191.76478
337,312.9166,193.25212,191.93319
338,312.26965,192.80269,192.24615
339,311.97434,193.70057,192.39244
340,312.57349,194.04541,192.53953
341,311.25069,194.92805,192.79108
342,311.02527,194.93348,193.0318
343,310.77913,195.27053,192.60313
344,311.05943,195.16167,193.0348
345,310.71016,195.3266,192.52784
346,310.98592,194.73287,192.82689
347,311.21523,194.79372,192.46628
348,311.37335,195.40917,193.2021
349,311.23697,195.86687,193.50075
350,311.28463,195.73886,193.83908
351,311.84718,196.15914,193.87456
352,311.95322,195.53366,194.27046
353,310.86828,196.18747,194.28417
354,310.93319,195.72689,194.09086
355,311.57349,195.62243,193.78789
356,312.1993,195.16186,193.845
357,311.65018,195.68319,193.75412
358,311.35007,195.42182,193.55256
359,311.16051,195.34268,193.11916
360,311.09838,195.28104,193.09868
361,311.12107,195.989,193.11453
362,310.61149,195.58706,193.25932
363,311.35835,195.29574,192.9555
364,311.48572,195.42802,193.59722
365,310.87501,196.17757,193.53788
366,311.47915,195.78754,193.57147
367,311.13127,195.57974,193.08795
368,311.70643,195.14392,193.21829
369,311.30226,195.41762,193.04701
370,311.01599,194.60326,192.94202
371,311.18769,193.98064,192.61644
372,312.03067,193.4864,192.60879
373,311.60412,194.11964,192.68312
374,311.25565,193.52615,192.73768
375,311.36039,193.52837,192.25618
376,312.66534,193.16139,192.40675
377,312.75524,193.90209,192.32238
378,313.01435,192.3185,192.64108
379,312.35233,192.23319,192.00622
380,312.29337,191.43016,192.12339
381,312.33129,191.94514,192.46283
382,312.51823,191.49378,192.0993
383,312.35287,190.66947,191.46618
384,313.61839,189.83906,191.2621
385,314.03299,190.35974,191.20808
386,313.81596,190.23486,191.32567
387,313.34378,189.66492,190.79951
388,314.12376,189.25174,190.85045
389,314.5494,189.66071,191.06852
390,314.36526,188.77731,191.40393
391,314.20084,187.91336,191.13396
392,315.37214,187.86822,191.18984
393,314.77834,187.93788,191.08658
394,314.73524,187.52537,190.77147
395,314.66245,187.33299,190.29234
396,315.20376,187.66926,189.78597
397,314.9191,187.8163,189.43294
398,314.98201,187.61755,189.11838
399,315.18967,187.01876,188.63157
400,315.48649,186.60868,188.54975
401,315.00458,186.36499,188.10315
402,314.61081,186.12028,188.08517
403,315.08568,186.32124,187.56524
404,315.60906,186.19884,187.73912
405,315.72181,186.36364,187.39129
406,315.21471,186.54983,187.51668
407,315.50436,185.77186,187.01411
408,316.02386,185.89366,186.88269
409,316.24204,186.35698,186.65879
410,315.79209,186.64474,186.7156
411,315.53439,186.58273,186.19597
412,315.80958,186.23216,186.10845
413,315.42885,186.276,185.66315
414,315.3243,186.1063,185.5766
415,315.26845,186.93047,185.05189
416,315.43723,186.65937,184.65962
417,315.35135,186.7012,184.57139
418,315.49568,186.81451,184.61825
419,315.78379,186.24666,184.17669
420,316.43447,185.77856,184.26513
421,316.49588,185.91986,184.74195
422,316.17376,185.10012,184.52605
423,316.45764,184.68342,184.54188
424,316.58058,184.52127,184.56534
425,316.34263,184.66137,184.6522
426,316.46335,184.37663,184.62239
427,317.16145,183.86377,184.43726
428,317.27845,184.11297,184.95075
429,316.9485,184.94424,185.2208
430,317.50857,184.9865,185.14624
431,317.63242,184.95951,185.08367
432,318.11567,184.80829,185.01733
433,317.64362,185.754,185.30751
434,317.61264,185.57272,185.69008
435,316.88686,185.13111,185.91312
436,317.52333,184.51492,185.76256
437,317.19698,184.80811,185.57687
438,316.56032,184.22681,186.01765
439,316.29712,184.15146,185.8342
440,316.5228,183.8377,186.22663
441,316.36812,183.88625,185.80585
442,317.3463,183.2267,185.59693
443,317.37513,183.05743,185.5044
444,317.65483,182.82324,185.54279
445,317.98103,183.12685,185.49548
446,318.06288,183.64999,185.92896
447,317.02553,183.85049,185.76411
448,317.689,183.79369,185.62816
449,317.66088,184.07047,185.64516
450,317.88186,184.37395,185.96559
451,317.612,184.72436,186.26887
452,317.44774,184.75204,186.20581
453,317.96718,185.99016,186.07774
454,318.219,185.79916,187.00991
455,318.44145,185.91821,187.48115
456,318.57628,186.49655,187.31159
457,318.64982,187.54091,187.24145
458,319.24563,187.20019,187.76036
459,320.07223,187.37885,187.51435
460,320.59166,187.43697,187.23378
461,320.28687,187.42471,186.95847
462,321.70308,186.79103,187.27688
463,322.12521,187.59104,187.2304
464,321.8148,187.70462,187.36495
465,322.26779,187.55205,187.36162
466,322.88566,186.64522,187.82285
467,322.51942,186.72291,187.55523
468,322.93893,186.9779,186.93744
469,322.32476,187.20703,186.90914
470,322.98814,187.07987,187.09944
471,322.98728,188.31885,187.36921
472,323.02912,188.48897,187.58554
473,322.37681,188.8455,187.05858
474,322.97986,188.19308,187.13465
475,323.69108,188.6409,187.1892
476,323.78013,188.89559,187.0066
477,322.6901,188.85724,187.10069
478,323.02522,187.83582,187.57998
479,323.31249,189.14679,187.31165
480,323.69384,189.57981,187.1313
481,323.95245,189.36294,187.17197
482,323.84033,188.94319,187.75941
483,324.13677,188.96495,187.38575
484,324.48082,189.00696,187.37425
485,323.91728,189.22233,187.25824
486,323.98345,188.43303,187.36665
487,323.69006,188.43256,186.89041
488,324.00685,188.67485,186.43868
489,323.39225,188.50339,186.11372
490,323.20427,188.00391,185.84874
491,323.30044,188.65071,185.26004
492,323.29132,188.64341,185.05273
493,322.40605,188.10671,184.96525
494,322.69959,187.91429,185.05931
495,322.53099,188.03846,184.96078
496,323.07026,188.45094,185.47256
497,322.74519,188.33605,185.41215
498,323.0914,187.27006,185.87441
499,323.16899,187.55335,185.42316
500,322.66879,187.69737,185.17705
501,321.67908,187.75227,184.98043
502,321.84329,187.86164,185.21729
503,321.9001,187.79179,184.77525
504,321.78078,187.21959,184.93016
505,321.57114,187.12414,184.39109
506,321.5664,186.59292,184.40522
507,321.96511,186.0499,184.1535
508,322.07935,186.0674,184.10592
509,321.56358,186.3631,184.12927
510,321.57061,186.10004,184.19966
511,321.01504,185.96386,183.83593
512,320.90052,185.48657,183.48309
513,320.58743,184.97137,183.4061
514,320.48551,183.90713,183.55793
515,320.19094,183.05744,183.23688
516,319.24829,182.15418,183.21773
517,318.75863,181.59938,183.03059
518,318.72928,180.88928,183.24711
519,318.51016,180.39732,183.04962
520,318.44896,180.6572,183.05016
521,317.59956,181.01393,183.23447
522,317.6725,180.73971,183.68297
523,317.67069,181.14639,183.41354
524,317.0862,181.32968,183.43119
525,316.9625,180.95706,183.53111
526,317.41284,180.68317,183.69942
527,317.20903,181.26937,183.68522
528,316.58968,181.39398,183.35932
529,316.39078,180.85895,182.8621
530,316.69285,179.691,183.22693
531,315.66956,179.38806,183.19067
532,315.86938,179.31132,182.4843
533,314.60233,179.57246,182.46254
534,314.96648,179.00999,182.89836
535,314.49895,178.58415,182.79904
536,315.07224,178.44798,182.60167
537,315.16782,178.64939,182.50474
538,315.4399,178.2204,182.84267
539,315.6679,178.83525,182.63515
540,316.15048,179.1125,182.5236
541,316.29012,179.27611,182.46245
542,316.82176,179.03546,182.91833
543,316.55559,179.78579,182.91172
544,316.59515,179.86263,182.64963
545,316.91826,180.54414,183.05992
546,317.45971,180.95944,183.58139
547,317.32341,181.67365,183.43204
548,318.29131,182.18718,183.53656
549,318.15653,182.49841,183.67532
550,318.47332,182.49465,184.0224
551,318.82244,182.63098,183.97061
552,319.17272,182.80904,184.08692
553,319.74585,182.78245,184.07879
554,319.11302,181.90526,184.02804
555,319.92158,182.29435,183.56824
556,320.3159,182.87858,183.7832
557,320.01967,182.54626,183.98829
558,320.8135,182.30009,184.21143
559,320.79037,183.04811,184.25347
560,320.53154,183.16775,184.29105
561,320.15594,183.20535,184.27403
562,321.13372,183.63495,184.99242
563,320.18142,184.50858,185.14935
564,320.14345,183.99015,185.84051
565,320.45125,184.32185,186.08087
566,320.86935,184.9024,186.73822
567,320.85719,186.42923,186.91611
568,321.59139,187.33841,187.33774
569,321.91006,187.84869,187.18817
570,323.18149,188.49475,187.59823
571,323.27778,189.47713,187.61457
572,323.55531,189.29704,187.60664
573,323.90223,189.37809,187.84767
574,324.79973,189.84123,188.38587
575,324.62647,190.62652,187.76634
576,323.77735,190.63201,187.87502
577,324.01332,190.41603,187.92469
578,324.45698,190.25747,188.21583
579,323.97404,190.9087,187.93348
580,323.86848,189.93559,187.89783
581,323.56012,189.76308,187.80319
582,323.33643,190.41295,187.81848
583,323.45792,190.81743,187.84376
584,323.44039,191.1505,188.10928
585,323.61041,191.50098,188.11832
586,324.86453,191.57745,188.14588
587,325.21783,192.54604,188.34664
588,325.64572,192.63971,188.56007
589,325.83187,193.11723,187.95366
590,326.42626,193.06043,188.39541
591,326.05852,193.50753,188.43095
592,325.7385,192.78078,188.81014
593,325.57915,192.68416,188.55532
594,326.00871,192.75537,188.77118
595,326.09303,192.72578,188.84818
596,326.07865,192.25349,188.78662
597,325.15512,191.80119,188.28498
598,325.55666,191.41509,188.30092
599,324.85985,192.3091,188.5114
600,324.40952,190.92988,188.49879
601,324.23257,190.68841,188.22566
602,325.00639,190.77091,187.90682
603,324.13175,190.46175,187.76523
604,323.74322,189.89712,187.99806
605,323.91241,189.39564,187.12874
606,324.26698,188.99346,186.8889
607,323.71346,188.9068,187.13577
608,323.83703,188.46988,187.04387
609,323.3002,188.41398,186.69432
610,323.53289,187.93835,186.76104
611,322.78436,187.51263,186.73756
612,322.36974,186.89303,186.88053
613,322.29635,186.49019,186.28734
614,322.86103,186.34842,186.22335
615,322.42284,187.02151,186.11011
616,321.74902,186.75903,185.97659
617,322.25371,186.73683,185.03987
618,322.80107,186.19414,185.22317
619,322.32941,186.38848,185.39421
620,322.23482,186.07943,185.43848
621,322.14015,185.47947,185.20146
622,322.63585,184.68892,185.13254
623,321.8092,184.48743,184.94509
624,321.49731,183.9396,185.40833
625,321.10026,183.36523,185.00942
626,321.00786,183.25098,184.94928
627,320.0032,182.89926,184.96643
628,319.64619,181.87784,184.59913
629,319.91135,181.38583,184.28079
630,319.47471,180.73996,184.1237
631,319.11654,181.37764,184.02455
632,319.56163,181.34604,184.16782
633,318.76654,180.98971,183.63775
634,319.60197,180.41024,183.76297
635,319.30907,180.38758,183.6943
636,319.66774,180.34448,183.74182
637,319.38304,180.19789,183.2967
638,319.18729,179.78032,183.31922
639,318.75756,180.08502,183.59741
640,318.89679,179.57905,183.95032
641,318.49381,179.4241,183.9201
642,318.93653,178.86347,184.62286
643,319.07463,179.69035,184.90579
644,319.67418,179.34968,184.95292
645,319.06622,179.75765,184.65898
646,319.12156,179.82156,184.56013
647,319.15177,180.20544,184.28229
648,320.41693,179.47267,184.36426
649,320.56076,179.76003,183.91035
650,321.00379,179.68502,184.11446
651,321.13062,179.91032,184.2973
652,321.43396,180.07359,184.23373
653,321.77727,180.0234,183.61173
654,321.74831,180.43215,183.52073
655,322.323,180.95069,183.83511
656,322.28323,180.77021,184.24535
657,322.3113,181.08046,184.18098
658,323.21265,181.45237,184.51733
659,323.07352,182.46047,184.49326
660,323.57186,182.79937,184.58976
661,323.43755,183.57389,184.63797
662,324.43657,183.96682,184.90966
663,324.3418,184.63975,185.13253
664,325.01048,184.97012,185.3071
665,324.93429,185.60464,184.81741
666,325.6929,185.69994,184.72683
667,325.74548,186.70594,184.99556
668,325.81711,186.53865,185.3933
669,325.81984,186.44857,185.19093
670,326.51847,186.44499,185.58065
671,326.10926,186.49171,185.73999
672,325.87704,186.17078,185.45642
673,325.45524,186.75654,185.03261
674,325.57642,186.89865,185.26038
675,324.76167,187.80108,185.23648
676,325.07251,187.75735,185.23881
677,324.8782,187.98939,185.35458
678,325.30443,188.05529,185.761
679,325.36653,188.72534,186.00265
