Pixel Number,405 nm(ADC counts),450 nm(ADC counts),MercuryLamp(ADC counts)
817,330.48848,179.4955,182.52906
818,330.95999,178.85763,182.31423
819,331.37936,179.25337,182.40894
820,332.10389,178.84017,182.64162
821,332.48289,179.54005,182.1292
822,332.90966,179.77554,181.80474
823,333.91213,179.79252,181.71321
824,335.95951,180.72839,181.71969
825,336.36355,181.60095,181.46122
826,337.09512,181.85202,181.36477
827,337.7737,181.83907,181.40796
828,338.8152,181.5061,181.33538
829,338.11377,182.13762,180.96552
830,337.93342,181.30122,180.81215
831,338.07442,181.65148,180.484
832,338.12219,181.00165,180.53268
833,338.10765,181.46121,180.01505
834,338.07253,181.42943,180.06947
835,338.00289,181.1939,180.03768
836,338.74959,181.05203,180.22232
837,338.19657,181.84382,180.03668
838,339.11281,180.67805,180.17397
839,338.83444,181.12391,180.04219
840,339.23247,180.6263,180.44374
841,338.89481,181.19816,180.38841
842,338.70198,180.44358,180.89216
843,338.87418,180.62487,180.62736
844,339.93223,180.99356,181.30534
845,339.44334,181.67492,181.17975
846,340.92925,181.4127,181.51222
847,341.52376,181.42795,181.44038
848,341.89585,180.82765,181.50901
849,341.94693,180.93126,182.40399
850,342.37465,180.90677,183.02118
851,342.41293,180.64642,183.09968
852,342.88724,180.57363,183.364
853,343.29575,181.09628,183.61452
854,343.52217,180.89425,183.93869
855,343.96599,180.81351,183.38731
856,344.87972,180.20637,184.15377
857,345.30519,180.72644,184.04316
858,345.55534,180.0372,184.28627
859,345.69103,180.15126,184.1192
860,345.51945,180.30325,184.62618
861,345.94815,181.0278,184.50662
862,346.32803,181.30718,184.83818
863,346.46977,181.92879,184.43787
864,346.8526,182.25297,184.79235
865,346.50731,183.17438,184.96653
866,346.42497,183.02126,185.38704
867,346.23106,183.67431,185.06529
868,346.82202,183.73592,185.58044
869,347.21441,184.27066,185.86739
870,346.80026,184.3623,186.24219
871,347.21016,184.86644,186.36413
872,347.6644,185.84782,186.94624
873,347.18877,186.3523,187.11512
874,347.77543,186.33313,186.97943
875,347.86789,186.91506,187.04507
876,348.5722,186.96437,187.19947
877,348.53991,187.89034,186.68201
878,348.50301,188.1355,187.05264
879,347.86295,188.52023,186.65308
880,348.2388,188.41483,186.55531
881,347.87842,189.22938,186.20858
882,347.29558,189.12205,186.19184
883,346.875,189.95812,185.86201
884,347.42012,189.67655,185.88072
885,346.72508,189.94882,186.06039
886,347.03405,189.48903,186.16574
887,347.25992,189.71659,186.07599
888,347.44818,189.68461,186.70252
889,346.94869,190.30084,187.04108
890,347.25155,190.49937,187.71625
891,347.6256,190.52175,187.23351
892,348.14228,190.80057,187.5791
893,347.98369,191.25206,187.26848
894,347.56814,191.46078,187.26922
895,347.64106,191.28612,187.17675
896,348.10598,191.03365,187.56406
897,347.435,191.52134,187.4755
898,347.17596,191.35972,187.7254
899,346.80625,191.04689,187.48733
900,347.25204,190.53614,187.53978
901,347.27862,190.53765,187.47972
902,347.77885,189.18567,187.58087
903,347.70714,189.38757,187.24948
904,347.84546,188.62605,187.39257
905,347.57611,188.79609,187.4384
906,348.14952,188.67236,187.51138
907,349.23219,188.36949,187.40594
908,348.69429,188.52774,187.91057
909,348.69263,189.24861,187.73056
910,349.50386,189.32225,187.75345
911,349.42204,188.88426,187.62238
912,350.81979,188.64236,187.61559
913,350.06134,189.40824,187.40593
914,350.57905,189.42579,187.66358
915,351.08732,189.75497,187.47494
916,352.05027,189.11703,187.78492
917,352.20548,189.78684,188.1345
918,352.79057,188.85164,188.28559
919,353.32517,188.62659,188.13183
920,354.16155,188.37761,188.34416
921,353.83477,188.79792,188.18129
922,354.72536,187.44365,187.94863
923,354.95979,186.72961,187.00442
924,354.73885,186.78778,186.90637
925,354.12079,186.57296,186.19607
926,354.22726,186.0603,186.08061
927,354.53081,185.57294,185.52093
928,355.11639,184.938,185.95213
929,354.87882,185.36207,185.75593
930,355.44783,184.95105,186.30219
931,355.77444,184.65354,186.36082
932,357.49299,184.27534,186.91176
933,358.25443,184.86145,187.30973
934,358.50652,183.78347,187.9845
935,358.96103,183.70498,187.86784
936,359.74779,184.06278,188.27779
937,360.08354,184.11106,188.12548
938,360.69188,183.47868,188.38419
939,360.74858,183.99886,188.17119
940,362.30111,183.42993,188.42168
941,362.18028,184.39179,188.32282
942,362.98627,184.43348,188.97854
943,363.2654,184.82525,188.44209
944,364.7056,184.66441,188.63195
945,365.22308,184.75221,188.69876
946,365.82226,184.50773,189.01708
947,365.99518,184.59582,188.4823
948,367.01902,183.98276,187.8074
949,367.7161,184.44813,187.92252
950,368.37293,183.98219,188.20225
951,368.42289,184.20788,187.93615
952,369.10439,184.35497,188.06502
953,369.03182,184.91088,188.02074
954,369.94259,185.38351,188.7572
955,370.06649,185.83051,188.54219
956,370.33068,185.93829,188.40465
957,370.36887,187.23455,188.40759
958,370.62716,187.31764,188.87688
959,370.56039,188.34169,188.33811
960,371.41935,188.08084,188.09691
961,371.2302,189.2896,188.25256
962,371.40971,189.41214,188.66836
963,371.6703,189.72884,188.73764
964,372.86884,189.47196,189.23754
965,373.35299,189.97743,188.99733
966,373.59383,189.94481,189.48627
967,374.13558,190.74351,189.38593
968,374.43888,190.10517,189.72581
969,374.31538,190.54464,189.74717
970,374.53108,190.38843,189.76776
971,375.05508,190.95712,189.67332
972,375.48105,190.7108,189.53074
973,375.83243,190.49168,189.59352
974,376.91347,191.0978,190.15096
975,376.42649,191.60984,189.97485
976,377.06158,191.62964,190.0369
977,377.34166,192.45399,190.49845
978,378.15549,192.48723,190.95676
979,378.19799,193.32124,191.03909
980,378.90912,193.5551,191.02962
981,378.83019,193.80217,190.97132
982,379.1259,193.45303,191.4394
983,379.48913,194.02962,191.38944
984,379.95872,193.6778,191.67954
985,379.80733,193.95841,191.4965
986,380.71582,193.5907,191.72988
987,381.18513,194.57988,191.62443
988,381.1568,195.33768,191.77438
989,380.95078,195.86972,191.49732
990,381.54189,195.75202,191.39864
991,382.06508,195.99568,191.18719
992,382.29976,195.99642,191.41061
993,382.31615,196.42127,190.90583
994,382.89698,195.99318,191.16296
995,383.35997,196.03435,191.01434
996,383.10842,196.07697,191.37923
997,383.39034,195.45515,191.17969
998,384.38655,194.62414,191.37771
999,386.08747,194.37525,191.94651
1000,386.3023,194.12184,192.05392
1001,386.67058,193.78949,192.07748
1002,387.48354,193.6019,192.58574
1003,388.01846,194.57407,192.66373
1004,388.86816,194.25855,192.76383
1005,389.80409,194.22921,192.56187
1006,391.20625,193.81562,192.89492
1007,391.60468,194.0095,192.36385
1008,392.03688,194.06667,192.35592
1009,393.83606,193.89353,191.9877
1010,395.53069,193.26911,192.45953
1011,396.3212,193.03158,192.23087
1012,398.1173,192.96477,192.3583
1013,398.15316,193.16544,192.54352
1014,400.06846,191.97105,192.9178
1015,401.37886,191.10143,192.80013
1016,402.59827,190.0887,192.76853
1017,403.61197,190.37436,192.80413
1018,404.98319,189.16043,193.06703
1019,406.00871,189.49147,193.09518
1020,407.55434,189.26752,192.99535
1021,408.67243,189.52731,193.14278
1022,411.04424,188.60929,193.38031
1023,412.36535,189.50893,192.85628
1024,414.35963,190.01527,192.54958
1025,416.6546,190.02927,192.5915
1026,419.35791,190.12064,192.83613
1027,421.91868,190.5837,192.89044
1028,424.00574,191.06764,193.2109
1029,425.92386,191.64058,193.08193
1030,428.42031,191.25306,193.43424
1031,430.59302,191.30852,193.49975
1032,432.34827,190.98462,193.82854
1033,433.09962,190.85154,193.9516
1034,434.37937,190.22046,194.29847
1035,435.96844,190.74737,194.09976
1036,438.05842,190.49204,194.44238
1037,440.14795,190.27386,194.8885
1038,442.0303,190.64109,195.22799
1039,443.89303,191.36591,194.91787
1040,445.44434,191.33859,194.6451
1041,447.13232,191.74966,193.84395
1042,449.34512,191.35215,194.47438
1043,451.26623,191.43448,194.24158
1044,453.21316,191.62369,194.44075
1045,455.14485,191.89095,194.40566
1046,455.69843,191.60356,195.03336
1047,458.44606,191.90226,194.82371
1048,459.17362,191.99192,195.57108
1049,459.86267,193.03251,195.70277
1050,459.03092,193.31731,195.70619
1051,459.43015,194.70467,196.05102
1052,458.57298,195.54133,196.40586
1053,458.8474,196.12732,196.51477
1054,459.45767,196.10507,197.24266
1055,459.9059,196.76137,197.11896
1056,460.81494,196.7706,197.07434
1057,462.67088,197.57805,197.0805
1058,464.10328,197.09429,197.37217
1059,467.03409,197.5371,197.44907
1060,469.66365,197.26949,197.80506
1061,472.91019,198.36079,197.7297
1062,476.76535,198.25952,197.65448
1063,481.54785,198.9674,197.61031
1064,487.3066,199.14489,197.91744
1065,493.35723,199.42704,197.74227
1066,502.39889,198.61808,198.19301
1067,511.40318,199.50802,197.93902
1068,522.27127,199.2458,197.89797
1069,533.6055,199.81006,197.76094
1070,546.05409,199.64385,198.04216
1071,559.36218,200.58353,197.7742
1072,572.41965,200.54772,197.72563
1073,585.73848,201.42489,197.69183
1074,599.76613,202.25187,198.79933
1075,614.39782,202.53336,198.98034
1076,629.54074,202.77238,199.35855
1077,644.54394,203.50926,199.58207
1078,660.39196,203.28184,200.10331
1079,675.84335,204.01234,200.01462
1080,692.42988,203.26697,199.77694
1081,709.32296,203.18376,199.33625
1082,724.37256,203.18595,199.53581
1083,740.7141,203.30307,198.93606
1084,756.94488,203.32446,198.83662
1085,772.95735,203.58218,198.53992
1086,792.43945,203.77291,199.10996
1087,810.93314,203.85283,198.50623
1088,829.58392,203.25353,198.26079
1089,849.45664,202.92129,197.81638
1090,867.0377,202.29866,197.82448
1091,885.69143,202.58688,197.56544
1092,903.95952,202.24956,197.61267
1093,922.15632,202.21518,197.0594
1094,942.12318,201.73081,197.45927
1095,962.14229,201.7598,197.5076
1096,982.29847,201.20241,197.72277
1097,1003.56711,200.81446,197.64526
1098,1024.75277,200.86993,198.2073
1099,1045.42215,201.56795,198.70747
1100,1065.97193,201.09129,198.96422
1101,1087.77779,200.99837,198.83855
1102,1109.23549,200.97412,199.38093
1103,1130.16482,200.63886,199.43355
1104,1150.5432,199.69977,199.41193
1105,1171.72169,198.99426,198.70364
1106,1191.21955,198.13385,198.78543
1107,1210.88867,197.98644,198.85843
1108,1231.27752,197.06952,198.79328
1109,1251.37108,196.49311,198.46152
1110,1272.71376,196.08323,198.81675
1111,1292.64305,196.40009,198.95729
1112,1315.79234,195.84515,199.04064
1113,1336.60158,195.32265,198.7086
1114,1361.71402,194.34147,198.2692
1115,1384.28796,194.11983,198.2844
1116,1410.5052,194.05368,198.40779
1117,1434.48584,194.14592,198.10155
1118,1461.55523,193.58215,198.50617
1119,1485.53705,194.14802,198.35405
1120,1511.97436,194.13881,198.71057
1121,1535.63229,194.39592,198.34945
1122,1561.1945,194.17687,198.23744
1123,1582.93233,194.93989,198.67925
1124,1606.20802,194.9929,198.9019
1125,1625.99437,194.86755,198.69847
1126,1645.91267,194.75283,198.95472
1127,1663.19167,195.27843,199.06939
1128,1678.52717,195.12601,198.8798
1129,1692.30276,194.69625,198.25147
1130,1704.78169,194.05907,198.24697
1131,1714.73349,194.55682,198.00971
1132,1723.48614,194.27358,198.16835
1133,1730.43139,194.50615,197.81616
1134,1736.01798,194.58825,197.89813
1135,1739.12987,195.38867,197.97252
1136,1740.11406,195.23706,198.48934
1137,1739.24571,195.37956,198.40963
1138,1736.17144,195.80876,198.9058
1139,1731.81678,195.88557,198.67293
1140,1725.14837,196.19565,198.95846
1141,1717.15302,196.78334,199.12164
1142,1707.29084,197.03298,199.64834
1143,1695.89716,198.06001,199.76703
1144,1682.73395,198.37085,200.35041
1145,1668.14764,198.94715,200.19548
1146,1651.24219,199.1429,200.66146
1147,1634.85047,199.40527,200.56616
1148,1614.94737,199.65372,200.90619
1149,1595.74133,200.47554,200.60282
1150,1575.57034,200.99844,200.75483
1151,1555.70092,201.73595,200.66476
1152,1534.32955,201.85168,200.81736
1153,1513.60766,201.92544,200.55189
1154,1491.33681,202.18457,200.41138
1155,1468.87173,202.85471,200.21277
1156,1445.80699,202.75952,200.43409
1157,1422.57896,203.28159,200.3517
1158,1398.44913,203.25275,200.98815
1159,1374.54289,204.06892,201.63199
1160,1349.76293,204.29575,202.09774
1161,1325.96034,205.51774,202.25716
1162,1302.44562,205.39139,202.81956
1163,1278.5182,206.0619,203.41086
1164,1254.02217,206.01665,203.6829
1165,1229.10999,206.29097,203.95028
1166,1204.73291,206.61176,204.6984
1167,1177.92127,208.15079,205.07431
1168,1151.72931,208.23205,205.52165
1169,1123.37125,208.70624,205.92208
1170,1095.75698,208.94058,206.57105
1171,1067.45944,209.90709,207.1423
1172,1038.44686,209.47411,207.66253
1173,1009.52832,209.68769,207.81828
1174,981.66017,209.27454,208.60956
1175,952.73057,210.07312,208.80712
1176,923.70193,210.24095,209.44414
1177,895.07049,210.31642,209.70888
1178,866.45007,210.08937,210.36711
1179,837.02746,210.46506,210.55142
1180,808.48295,209.90333,211.09704
1181,780.02834,210.22774,211.2564
1182,751.98204,210.42402,211.77516
1183,726.08779,211.21889,211.74882
1184,699.95117,211.6923,212.19906
1185,675.15185,211.59455,211.99173
1186,651.52971,211.69222,212.56113
1187,625.77087,212.20536,212.87112
1188,601.49719,212.73931,213.30049
1189,577.16095,213.31856,213.61687
1190,553.23782,213.73041,213.69837
1191,532.56198,214.81653,214.46278
1192,512.49229,214.79204,215.33373
1193,493.52092,215.05277,215.27854
1194,476.5495,215.37398,215.36706
1195,459.14955,216.30596,215.77931
1196,442.07431,216.53069,216.13248
1197,426.8498,216.88784,216.15018
1198,412.13918,216.95221,216.16611
1199,398.24464,217.72017,216.71075
1200,385.91592,216.73055,216.63122
1201,373.49448,216.89648,216.47397
1202,363.02557,217.2888,216.13499
1203,353.87008,217.95682,215.86124
1204,346.24344,217.15715,215.726
1205,340.664,217.11915,214.99837
1206,335.837,217.42051,214.39813
1207,333.39527,217.98225,214.0366
1208,332.74531,217.60135,213.94563
1209,333.60179,217.861,213.37366
1210,336.10752,217.3603,212.87591
1211,339.13635,217.6279,212.93351
1212,343.86054,217.541,213.52087
1213,346.74189,217.83807,213.70001
1214,353.44862,217.70544,213.77935
1215,358.17279,217.75476,214.01848
1216,365.14278,217.91021,214.25102
1217,368.4284,218.42984,214.1044
1218,374.691,218.69419,213.92426
1219,377.46761,219.29904,214.40475
1220,382.83092,219.22341,214.68061
1221,384.8,219.46262,214.60774
1222,388.30956,219.16205,214.66153
1223,389.24369,219.32028,214.97364
1224,392.59423,219.02821,215.64119
1225,393.63719,219.3702,215.48461
1226,395.62185,219.54833,215.67452
1227,395.63273,220.20325,216.29087
1228,396.47762,220.07222,216.43714
1229,396.99228,220.37581,216.63519
1230,397.49928,221.05525,216.82119
1231,397.44798,221.96682,217.73655
1232,398.23841,222.0341,218.66052
1233,397.60559,222.9623,218.9156
1234,397.42376,223.46602,219.46644
1235,396.5979,223.94142,220.20737
1236,396.32714,223.3733,220.83735
1237,396.3117,224.10818,221.15199
1238,396.00401,224.64372,221.7561
1239,396.13777,224.93508,223.01751
1240,395.58993,225.88737,224.10319
1241,395.27578,225.85898,224.95801
1242,395.08505,226.30786,225.79193
1243,394.53525,227.17412,226.60518
1244,394.31086,227.3383,227.64934
1245,393.63072,228.02753,228.43349
1246,393.43484,227.79291,228.92556
1247,393.56494,228.34563,230.01882
1248,392.89867,229.09284,231.11961
1249,392.97676,229.77167,232.05257
1250,392.99637,230.64016,233.12353
1251,391.60231,231.31937,234.27474
1252,391.47253,231.82824,235.42559
1253,390.61572,233.16127,236.02566
1254,390.6114,233.52741,236.82031
1255,390.14848,234.60147,238.18836
1256,390.32583,235.03783,239.49695
1257,389.76694,236.09272,240.46543
1258,388.76968,236.48801,241.41408
1259,388.17934,237.31219,242.68591
1260,388.57045,237.55262,244.24628
1261,388.40574,238.40912,245.17923
1262,388.84443,238.00288,246.48492
1263,387.60007,238.92557,249.56223
1264,387.90155,239.27269,252.2222
1265,388.04821,239.95985,255.42005
1266,388.45704,240.54354,257.79423
1267,387.89172,241.47956,260.523
1268,388.1443,241.54432,263.45147
1269,387.97666,242.03613,266.53595
1270,388.13779,242.43362,269.59233
1271,387.5363,243.58048,272.98509
1272,387.29537,243.45335,276.08777
1273,387.05788,244.32474,279.78939
1274,387.35777,245.04742,282.93858
1275,386.25135,246.74155,286.62939
1276,386.3155,246.28256,289.50517
1277,385.69936,247.72128,293.04331
1278,385.81185,248.00867,296.21195
1279,384.91559,248.92364,299.78032
1280,385.40159,248.99106,302.82964
1281,385.48594,250.14202,306.92099
1282,385.37921,250.63465,310.60919
1283,384.7343,251.16156,314.34149
1284,385.02555,250.17152,318.13827
1285,385.31967,250.388,322.25053
1286,384.84113,249.43643,325.61114
1287,384.76337,249.43094,329.57643
1288,385.06221,247.63389,332.82027
1289,384.40243,247.46305,336.40563
1290,384.37397,245.75407,339.33155
1291,384.08835,245.57069,342.56361
1292,384.2423,243.3112,344.76422
1293,383.78853,242.9117,347.93973
1294,383.821,241.78781,351.16233
1295,383.19061,241.91881,353.95229
1296,382.92392,240.74807,356.08575
1297,382.63321,241.24935,358.34731
1298,382.29224,242.03684,360.3364
1299,382.14843,243.84868,363.17304
1300,382.45549,245.76717,364.83698
1301,382.67729,249.42597,366.088
1302,383.04378,253.6701,366.91057
1303,383.00325,258.03947,368.34062
1304,383.41973,263.0537,369.16381
1305,383.2909,269.63121,370.11538
1306,383.25899,276.35367,370.95865
1307,382.78628,283.60159,372.30877
1308,383.10313,291.32962,373.66951
1309,382.85383,299.66002,375.30364
1310,382.48227,307.70418,377.05263
1311,382.63635,317.38661,378.95802
1312,382.77128,326.18551,380.42432
1313,382.23391,335.79084,381.31098
1314,383.35112,344.63457,382.37393
1315,384.11471,355.05484,383.99646
1316,383.54346,365.84592,385.30577
1317,383.57848,376.53639,386.54353
1318,384.37524,387.99145,387.62503
1319,384.21349,400.08179,388.60805
1320,384.24039,412.02022,389.7
1321,383.71157,425.21239,390.81061
1322,383.75358,437.51361,391.46827
1323,384.05809,450.97328,392.31093
1324,383.9622,463.56158,393.33625
1325,383.1519,477.49635,394.5112
1326,383.12747,489.15908,395.05792
1327,382.51654,501.88877,396.14067
1328,382.66063,514.60347,397.23405
1329,381.5253,527.53555,398.41133
1330,381.35493,541.89998,399.10534
1331,381.41814,556.28389,399.92545
1332,381.22092,569.36393,400.4902
1333,380.64146,583.85724,401.44409
1334,380.51776,596.46013,402.28701
1335,380.50737,609.63296,403.40457
1336,380.70782,624.8293,404.89316
1337,380.18667,640.11225,406.29698
1338,380.19603,655.13932,406.86165
1339,379.75139,671.11116,407.98162
1340,379.92174,685.82142,408.57066
1341,380.38308,700.75982,409.32437
1342,380.85262,715.44565,409.64001
1343,381.09886,729.82603,410.00586
1344,381.66204,744.75833,410.40515
1345,381.87607,759.30659,411.09552
1346,382.2771,773.06511,411.52083
1347,382.48,787.88444,412.07372
1348,383.16146,800.98246,412.80318
1349,383.35215,814.87123,413.10847
1350,382.9244,827.15137,413.45897
1351,382.42496,839.65344,413.62089
1352,383.0976,851.76123,413.76324
1353,383.19462,863.73907,413.8455
1354,383.2072,874.66586,414.10263
1355,382.82866,886.81777,414.1401
1356,383.60382,897.73751,414.33326
1357,383.31799,909.6573,414.08151
1358,383.42156,920.90534,413.64185
1359,384.24858,932.06667,413.67756
1360,384.80925,942.9201,413.74703
1361,384.37313,954.09079,412.84428
1362,384.18517,964.14835,412.01379
1363,383.39868,974.7563,410.91849
1364,384.13081,982.97318,410.48792
1365,383.53026,991.46018,409.66498
1366,383.19563,999.15577,408.89651
1367,382.67335,1006.62658,407.88307
1368,382.5625,1011.90276,407.01373
1369,382.05972,1018.60507,405.57499
1370,381.35856,1023.28162,404.13377
1371,380.78119,1027.9875,402.49057
1372,380.48517,1032.97852,401.18347
1373,380.00368,1037.88815,399.96437
1374,379.61873,1043.18078,398.7425
1375,379.37998,1047.91697,396.85944
1376,379.47605,1053.16262,395.4493
1377,378.70645,1058.69185,393.76556
1378,378.18103,1064.88715,392.63882
1379,377.59685,1070.29969,390.9553
1380,377.88049,1078.52708,389.47657
1381,377.22604,1085.10916,387.54293
1382,376.83899,1093.94094,386.05941
1383,376.86412,1100.99702,384.12119
1384,376.32818,1109.44193,382.1826
1385,375.67749,1117.20284,380.55369
1386,375.07736,1124.97737,379.34669
1387,374.86895,1132.63003,377.213
1388,374.0465,1140.37166,375.79682
1389,372.89273,1148.60935,373.93758
1390,373.03555,1154.90492,372.52246
1391,372.65856,1162.07713,371.10748
1392,372.85511,1167.17448,369.62228
1393,372.06903,1173.53734,368.26562
1394,372.25554,1178.4155,367.55206
1395,371.59986,1183.36071,366.1567
1396,371.44362,1187.43568,364.97221
1397,370.54775,1191.60257,363.36481
1398,370.59134,1194.20281,362.55441
1399,370.26297,1196.80137,361.38503
1400,370.32434,1198.55357,360.60366
1401,369.52053,1199.66292,359.39368
1402,369.3989,1199.28558,359.08808
1403,369.00773,1197.78118,358.2908
1404,369.25141,1196.19139,357.54069
1405,368.2976,1193.25259,356.9919
1406,368.14712,1188.46617,356.95818
1407,367.76768,1182.87525,356.19174
1408,367.70241,1175.81995,355.97988
1409,367.03818,1168.25932,355.58478
1410,366.82509,1159.99805,355.53069
1411,366.17854,1151.21218,355.39363
1412,366.26513,1141.46963,354.76344
1413,365.67888,1131.90363,353.79208
1414,366.03366,1120.42689,353.68086
1415,365.3155,1109.65971,353.25894
1416,364.51358,1098.04221,353.01505
1417,364.45859,1085.74843,352.90083
1418,364.17025,1072.63806,353.18991
1419,363.32755,1058.67591,352.96781
1420,362.77155,1043.78675,353.11878
1421,361.71889,1028.19336,353.19924
1422,361.36256,1011.52645,353.20118
1423,361.13829,994.66231,353.1087
1424,360.95866,977.20306,353.03408
1425,360.77987,960.31626,353.26332
1426,360.6732,941.65648,353.69613
1427,359.65085,925.09591,353.8306
1428,360.46976,907.34854,354.27292
1429,359.86989,889.67301,354.24635
1430,360.40111,871.82298,354.16229
1431,360.41256,852.34362,354.21613
1432,362.6006,832.53317,354.38238
1433,362.26468,814.44674,354.5774
1434,362.35827,794.84927,354.40626
1435,362.15126,776.58716,353.9486
1436,362.30205,758.06643,354.08119
1437,362.01312,737.66379,354.42837
1438,362.74916,717.54319,354.62645
1439,362.65268,697.32191,354.34819
1440,363.38075,675.89527,354.20881
1441,362.59633,656.14389,354.04583
1442,362.61453,635.81911,353.86474
1443,362.63339,616.15706,353.94364
1444,362.78229,595.93924,354.20856
1445,362.32983,575.57193,354.09335
1446,362.1975,554.84259,353.98664
1447,361.8352,535.27503,354.12969
1448,362.11306,514.63013,353.99674
1449,361.20247,496.28464,353.69841
1450,361.12738,476.63865,353.81473
1451,361.07063,458.82199,354.02309
1452,360.99218,440.51603,353.81984
1453,360.78128,423.32487,353.82237
1454,360.18027,406.75785,353.44966
1455,360.52394,390.36565,353.66474
1456,361.15195,374.44147,353.69172
1457,360.49493,360.12814,353.86552
1458,360.49832,344.91344,353.63798
1459,360.09455,330.5583,353.64177
1460,360.11967,316.24155,353.49456
1461,359.41064,303.18466,352.95106
1462,359.63349,289.34468,352.93808
1463,360.41614,277.12145,352.91537
1464,360.27376,264.84641,353.10356
1465,359.01213,255.30066,353.02191
1466,359.18934,245.28214,352.60567
1467,358.58946,237.10791,352.38346
1468,358.33652,229.66896,352.32139
1469,358.04948,225.49677,351.76655
1470,357.65548,221.37104,351.23817
1471,357.26044,219.32892,351.11664
1472,357.18815,218.75239,351.22538
1473,357.12861,218.37879,351.08814
1474,356.55965,219.33032,351.37893
1475,356.11382,220.50572,351.28033
1476,355.1077,223.15444,351.40741
1477,354.44581,225.87232,351.30583
1478,353.98527,230.32601,350.87279
1479,353.74812,233.34259,350.79909
1480,353.1174,238.44686,350.35878
1481,352.57956,240.56197,350.58057
1482,352.12632,245.05465,350.53287
1483,351.54461,246.48574,350.53814
1484,351.00557,249.90145,350.37826
1485,350.8264,251.05542,350.74121
1486,350.69243,253.15412,350.6437
1487,350.65883,253.82146,350.82155
1488,350.07066,255.33682,350.84519
1489,350.26005,254.82747,351.29985
1490,350.69429,254.96454,351.1342
1491,350.5179,254.88183,351.59132
1492,350.59693,254.89624,351.47269
1493,349.54508,254.67561,351.56592
1494,350.32935,254.0785,351.89775
1495,349.97245,254.24048,352.42092
1496,350.28902,254.92264,352.68553
1497,349.49483,254.69428,353.27243
1498,350.05304,254.3358,353.43361
1499,350.55457,254.69987,354.15889
1500,350.54934,254.5962,354.63562
1501,350.11588,254.66178,355.2198
1502,351.15002,254.02512,355.27892
1503,350.44744,254.38667,355.47031
1504,350.54321,254.26474,355.95906
1505,349.71579,254.04175,356.72058
1506,349.81115,253.08611,356.95893
1507,349.13691,253.27849,357.38379
1508,348.79137,253.04618,357.89475
1509,348.37656,253.424,358.61285
1510,348.23004,252.77437,359.64529
1511,347.83559,252.70983,360.49373
1512,348.21988,252.27316,360.9286
1513,347.48053,252.10031,361.40859
1514,347.39441,250.9793,362.47909
1515,347.06026,250.90315,363.54865
1516,347.02964,250.28549,364.76674
1517,346.8011,249.51085,366.03007
1518,346.39968,248.76234,367.19307
1519,345.33435,249.09408,368.1211
1520,344.97257,248.49844,369.26114
1521,344.57917,247.82526,370.2813
1522,345.23776,247.44437,371.00202
1523,345.34775,247.76176,371.47976
1524,345.23678,247.97307,372.2457
1525,344.96296,248.08507,372.98693
1526,345.37651,247.59527,374.07809
1527,345.7011,248.49457,374.99812
1528,345.7681,248.37909,376.30278
1529,344.99886,248.41196,377.39735
1530,345.27467,248.39823,378.81177
1531,345.15467,248.92938,380.27924
1532,345.08115,249.14369,381.78273
1533,342.53619,249.00656,383.0873
1534,342.81107,248.71053,384.79804
1535,342.55277,248.61439,386.27561
1536,342.97864,248.30255,388.53332
1537,342.73986,248.36692,390.05265
1538,343.14304,248.2686,392.07381
1539,342.83668,248.47039,393.48554
1540,343.21265,247.20719,395.51674
1541,343.04741,247.51369,397.68519
1542,343.7507,247.27364,400.12354
1543,343.25783,247.30141,402.05561
1544,343.40278,246.29383,404.06668
1545,343.66335,246.5845,406.31055
1546,344.64531,246.78069,408.74973
1547,344.61056,247.38382,410.83959
1548,345.16722,246.93323,412.89166
1549,345.259,247.42662,415.11054
1550,345.58933,247.0119,417.17976
1551,345.29015,247.50052,419.04278
1552,345.91425,247.20288,421.40389
1553,346.04291,247.60628,423.90324
1554,346.65026,247.64707,426.18625
1555,347.58238,247.67098,428.73203
1556,347.92595,247.86589,430.91632
1557,347.69358,247.64641,432.96114
1558,348.0873,247.07867,435.54581
1559,347.89184,247.10634,437.8656
1560,347.82405,246.61902,440.30904
1561,347.95312,246.57074,442.33314
1562,348.03873,245.61088,444.52807
1563,347.98624,245.66286,446.58232
1564,346.62192,245.2977,448.72679
1565,346.565,245.35933,450.93953
1566,347.24253,244.66221,452.97592
1567,346.74331,244.7867,454.68001
1568,346.53102,244.57196,456.81405
1569,346.25504,244.547,458.37802
1570,346.22081,244.50253,460.49834
1571,345.46022,244.23749,462.38363
1572,345.30727,243.95168,464.41338
1573,345.07741,243.66005,466.46227
1574,344.50521,243.2077,468.30961
1575,344.07905,243.29079,470.34419
1576,343.69979,243.16174,471.52166
1577,343.89826,243.47228,473.41122
1578,344.22377,242.8017,475.39295
1579,343.71712,242.91514,477.09733
1580,343.29966,242.68939,478.61978
1581,343.80188,242.13042,480.31342
1582,344.6257,241.89505,481.72883
1583,344.86487,241.98842,483.06011
1584,344.12508,241.40221,484.14871
1585,344.05861,240.33229,485.20674
1586,344.22035,239.77048,486.28723
1587,344.18301,239.86385,487.30572
1588,343.89429,239.23413,488.45392
1589,344.37296,238.60347,489.28092
1590,344.24659,238.52743,490.22188
1591,343.24578,238.24348,490.72331
1592,342.85891,238.07614,491.08196
1593,343.04335,237.83166,491.26453
1594,343.55802,237.90869,491.25817
1595,342.68296,238.95927,491.47107
