Wavelength,Raw_Spectrum,Smoothed_Spectrum,,,# Smoothing method: Savitzky-Golay
435.3338,367,384.84883,,,
435.50429,371,385.02034,,,
435.67479,373,384.74434,,,
435.84531,370,384.05776,,,
436.01584,389,384.38182,,,
436.18639,372,383.8884,,,
436.35695,396,383.65571,,,
436.52753,384,383.20139,,,
436.69812,393,382.5225,,,
436.86873,353,381.09291,,,
437.03935,396,380.87979,,,
437.20999,389,381.26768,,,
437.38065,366,380.99105,,,
437.55131,377,380.56574,,,
437.722,368,381.01022,,,
437.8927,383,380.71204,,,
438.06341,419,381.46862,,,
438.23414,362,380.66026,,,
438.40488,395,380.55904,,,
438.57564,376,379.24186,,,
438.74641,393,380.08947,,,
438.9172,371,380.09155,,,
439.088,394,381.66221,,,
439.25882,410,380.99941,,,
439.42966,368,380.28798,,,
439.6005,342,380.95214,,,
439.77137,368,381.47598,,,
439.94225,367,382.15937,,,
440.11314,386,383.32923,,,
440.28405,367,384.00326,,,
440.45497,399,384.97162,,,
440.62591,377,385.12999,,,
440.79687,399,385.62033,,,
440.96784,381,385.94299,,,
441.13882,424,387.16456,,,
441.30982,392,386.02938,,,
441.48083,377,387.22882,,,
441.65186,389,387.73927,,,
441.82291,383,387.09547,,,
441.99396,379,386.8843,,,
442.16504,393,386.84013,,,
442.33613,364,385.83039,,,
442.50723,385,387.8788,,,
442.67835,393,387.37684,,,
442.84949,404,388.51134,,,
443.02064,372,388.71685,,,
443.1918,381,389.29425,,,
443.36298,398,388.72477,,,
443.53417,410,389.68393,,,
443.70538,425,390.55181,,,
443.87661,424,390.30621,,,
444.04785,385,388.42927,,,
444.2191,380,388.80149,,,
444.39037,360,388.53365,,,
444.56166,367,387.69825,,,
444.73296,372,386.78919,,,
444.90427,380,387.2473,,,
445.0756,393,386.56332,,,
445.24695,389,387.16025,,,
445.41831,367,386.91311,,,
445.58968,405,388.32474,,,
445.76107,367,387.22433,,,
445.93248,383,386.11477,,,
446.1039,399,385.21017,,,
446.27533,395,386.14311,,,
446.44678,378,385.98736,,,
446.61825,427,385.74498,,,
446.78973,364,384.7476,,,
446.96122,393,383.98109,,,
447.13273,368,383.22601,,,
447.30426,378,383.4199,,,
447.4758,381,382.11386,,,
447.64735,398,382.31176,,,
447.81892,368,380.91511,,,
447.99051,389,380.60704,,,
448.16211,386,380.65646,,,
448.33373,412,380.99984,,,
448.50536,355,380.43779,,,
448.677,367,380.72294,,,
448.84866,403,379.82092,,,
449.02034,386,379.62321,,,
449.19203,369,379.18057,,,
449.36374,384,378.45292,,,
449.53546,360,378.08609,,,
449.70719,367,377.94226,,,
449.87894,352,377.73809,,,
450.05071,409,377.40289,,,
450.22249,398,376.38087,,,
450.39429,406,375.60183,,,
450.5661,335,376.21919,,,
450.73792,360,376.34461,,,
450.90976,374,375.83606,,,
451.08162,367,377.49152,,,
451.25349,376,377.16859,,,
451.42538,384,378.63607,,,
451.59728,364,378.73012,,,
451.7692,382,378.26954,,,
451.94113,334,378.22005,,,
452.11307,404,378.40547,,,
452.28504,386,377.0149,,,
452.45701,398,376.34628,,,
452.629,399,377.00682,,,
452.80101,399,378.41693,,,
452.97303,366,377.42361,,,
453.14507,383,377.57179,,,
453.31712,361,378.12875,,,
453.48919,369,379.16358,,,
453.66127,385,378.70504,,,
453.83337,388,379.53347,,,
454.00548,379,378.76788,,,
454.1776,356,378.69062,,,
454.34975,399,377.16872,,,
454.5219,388,378.62873,,,
454.69408,397,379.26168,,,
454.86626,368,380.44506,,,
455.03846,383,380.10222,,,
455.21068,390,380.46363,,,
455.38291,370,380.76858,,,
455.55516,376,380.75134,,,
455.72742,340,381.69714,,,
455.8997,356,383.28211,,,
456.07199,382,382.05769,,,
456.2443,371,382.4232,,,
456.41662,382,380.24691,,,
456.58896,410,381.57981,,,
456.76131,413,380.94145,,,
456.93368,369,380.28986,,,
457.10606,372,381.37086,,,
457.27846,399,383.54925,,,
457.45087,370,383.68006,,,
457.6233,394,383.58547,,,
457.79574,364,384.01574,,,
457.9682,398,384.31373,,,
458.14067,370,383.18218,,,
458.31316,400,383.87875,,,
458.48566,383,383.84548,,,
458.65818,417,382.73408,,,
458.83071,376,382.65703,,,
459.00326,399,381.68205,,,
459.17583,396,382.03031,,,
459.3484,376,381.39326,,,
459.521,369,381.2728,,,
459.69361,381,381.80369,,,
459.86623,383,381.72813,,,
460.03887,355,381.84724,,,
460.21152,334,379.90763,,,
460.38419,406,378.5594,,,
460.55687,370,377.97896,,,
460.72957,405,377.72271,,,
460.90228,353,376.73159,,,
461.07501,404,377.25686,,,
461.24775,425,377.72122,,,
461.42051,374,377.57168,,,
461.59329,335,376.59727,,,
461.76608,366,378.26383,,,
461.93888,389,377.99941,,,
462.1117,345,378.52502,,,
462.28453,348,377.99379,,,
462.45738,412,378.74973,,,
462.63024,355,377.36954,,,
462.80312,368,377.87585,,,
462.97602,378,377.46259,,,
463.14893,386,378.76262,,,
463.32185,412,377.75438,,,
463.49479,382,378.16322,,,
463.66774,388,379.69988,,,
463.84071,386,379.92525,,,
464.0137,372,379.30116,,,
464.18669,371,379.45254,,,
464.35971,367,379.99223,,,
464.53274,397,379.06933,,,
464.70578,389,377.83866,,,
464.87884,388,379.08301,,,
465.05192,364,378.53562,,,
465.22501,399,379.03604,,,
465.39811,380,376.51007,,,
465.57123,392,377.65422,,,
465.74436,371,378.72887,,,
465.91751,401,378.36522,,,
466.09068,337,376.75839,,,
466.26386,369,376.87877,,,
466.43705,364,376.82829,,,
466.61026,367,375.87193,,,
466.78349,354,375.236,,,
466.95673,399,376.11937,,,
467.12998,367,375.32254,,,
467.30325,383,373.83694,,,
467.47654,362,373.15414,,,
467.64984,404,373.27305,,,
467.82315,384,372.92176,,,
467.99648,344,372.43254,,,
468.16982,366,372.26087,,,
468.34319,387,371.92516,,,
468.51656,373,371.48429,,,
468.68995,361,370.55292,,,
468.86336,380,369.69515,,,
469.03678,362,369.0658,,,
469.21021,344,368.81861,,,
469.38366,367,368.81175,,,
