Wavelength,Raw_Spectrum,Smoothed_Spectrum,,,# Smoothing method: Savitzky-Golay
435.3338,309,298.5847,,,
435.50429,288,298.92568,,,
435.67479,298,298.97685,,,
435.84531,271,297.86265,,,
436.01584,298,298.8204,,,
436.18639,294,299.26408,,,
436.35695,285,299.54418,,,
436.52753,289,300.03977,,,
436.69812,292,300.40443,,,
436.86873,278,300.29869,,,
437.03935,306,300.66011,,,
437.20999,319,299.64679,,,
437.38065,298,299.91545,,,
437.55131,302,300.01574,,,
437.722,303,300.76013,,,
437.8927,291,300.31772,,,
438.06341,353,301.09305,,,
438.23414,270,300.54558,,,
438.40488,296,300.57276,,,
438.57564,274,299.28839,,,
438.74641,306,299.26451,,,
438.9172,296,299.15688,,,
439.088,320,300.13753,,,
439.25882,325,298.88996,,,
439.42966,280,298.69739,,,
439.6005,298,298.88523,,,
439.77137,299,300.57403,,,
439.94225,300,301.31874,,,
440.11314,326,302.27554,,,
440.28405,285,301.54124,,,
440.45497,318,301.61696,,,
440.62591,288,301.01527,,,
440.79687,301,300.61186,,,
440.96784,303,299.31367,,,
441.13882,310,299.3731,,,
441.30982,281,297.57689,,,
441.48083,320,297.61952,,,
441.65186,303,297.59422,,,
441.82291,284,295.77719,,,
441.99396,284,295.14202,,,
442.16504,288,295.09694,,,
442.33613,271,293.82874,,,
442.50723,288,295.68502,,,
442.67835,303,294.95606,,,
442.84949,300,295.90509,,,
443.02064,294,295.64541,,,
443.1918,291,296.107,,,
443.36298,303,295.84199,,,
443.53417,334,296.77349,,,
443.70538,306,297.46078,,,
443.87661,337,296.54866,,,
444.04785,265,295.72104,,,
444.2191,270,296.65152,,,
444.39037,266,296.69913,,,
444.56166,290,297.6459,,,
444.73296,285,297.36345,,,
444.90427,303,298.85207,,,
445.0756,285,298.64287,,,
445.24695,318,299.57369,,,
445.41831,273,299.74199,,,
445.58968,319,300.94235,,,
445.76107,284,299.5505,,,
445.93248,301,300.84077,,,
446.1039,348,300.33754,,,
446.27533,319,301.72294,,,
446.44678,303,302.19629,,,
446.61825,336,301.42547,,,
446.78973,300,300.5936,,,
446.96122,308,300.06773,,,
447.13273,272,300.1089,,,
447.30426,284,300.11337,,,
447.4758,287,300.00985,,,
447.64735,301,299.89225,,,
447.81892,285,299.47738,,,
447.99051,302,300.2374,,,
448.16211,314,300.07731,,,
448.33373,332,300.79904,,,
448.50536,274,299.35269,,,
448.677,303,299.36334,,,
448.84866,302,298.28044,,,
449.02034,305,298.53691,,,
449.19203,277,298.10827,,,
449.36374,304,297.43439,,,
449.53546,276,296.55435,,,
449.70719,303,297.40359,,,
449.87894,275,295.92206,,,
450.05071,335,295.79789,,,
450.22249,286,294.67539,,,
450.39429,335,294.27378,,,
450.5661,250,295.88004,,,
450.73792,271,296.22395,,,
450.90976,314,295.82949,,,
451.08162,297,296.63471,,,
451.25349,300,296.29711,,,
451.42538,295,297.15011,,,
451.59728,293,296.62905,,,
451.7692,289,296.57193,,,
451.94113,283,295.9279,,,
452.11307,304,296.03117,,,
452.28504,300,294.16136,,,
452.45701,309,293.85465,,,
452.629,318,294.62237,,,
452.80101,325,295.16476,,,
452.97303,275,294.50488,,,
453.14507,300,294.56212,,,
453.31712,272,294.50187,,,
453.48919,284,295.12082,,,
453.66127,309,294.23903,,,
453.83337,298,295.70674,,,
454.00548,270,294.70781,,,
454.1776,301,295.15409,,,
454.34975,301,293.69184,,,
454.5219,301,294.67977,,,
454.69408,292,293.82226,,,
454.86626,273,294.97207,,,
455.03846,291,294.48425,,,
455.21068,303,294.61698,,,
455.38291,301,295.15554,,,
455.55516,310,295.11692,,,
455.72742,279,295.69159,,,
455.8997,286,296.91015,,,
456.07199,276,296.08206,,,
456.2443,295,295.36556,,,
456.41662,282,294.39888,,,
456.58896,335,295.26345,,,
456.76131,303,294.87685,,,
456.93368,280,296.01726,,,
457.10606,311,297.09092,,,
457.27846,297,299.72826,,,
457.45087,301,299.14857,,,
457.6233,307,299.21473,,,
457.79574,289,298.25498,,,
457.9682,312,298.5734,,,
458.14067,256,297.54409,,,
458.31316,308,297.85359,,,
458.48566,285,296.58887,,,
458.65818,322,295.83485,,,
458.83071,304,295.32408,,,
459.00326,324,295.00569,,,
459.17583,312,294.49025,,,
459.3484,282,292.94634,,,
459.521,271,292.21697,,,
459.69361,297,292.48031,,,
459.86623,302,292.59956,,,
460.03887,284,292.89069,,,
460.21152,252,291.71943,,,
460.38419,317,290.68149,,,
460.55687,312,290.14336,,,
460.72957,316,290.72418,,,
460.90228,274,290.20034,,,
461.07501,313,292.14322,,,
461.24775,271,291.70686,,,
461.42051,282,291.06242,,,
461.59329,234,291.27045,,,
461.76608,288,291.98922,,,
461.93888,289,292.97425,,,
462.1117,294,294.28175,,,
462.28453,256,295.11285,,,
462.45738,327,296.39996,,,
462.63024,274,294.63225,,,
462.80312,296,295.133,,,
462.97602,310,295.20748,,,
463.14893,306,296.0593,,,
463.32185,303,296.0108,,,
463.49479,303,298.32377,,,
463.66774,320,300.48579,,,
463.84071,312,300.6363,,,
464.0137,292,300.35358,,,
464.18669,296,300.90507,,,
464.35971,302,302.34939,,,
464.53274,324,302.5688,,,
464.70578,330,301.86512,,,
464.87884,304,303.70348,,,
465.05192,282,304.4121,,,
465.22501,304,306.14909,,,
465.39811,274,305.17119,,,
465.57123,328,306.44384,,,
465.74436,316,305.18974,,,
465.91751,322,303.85961,,,
466.09068,294,300.99164,,,
466.26386,288,300.72045,,,
466.43705,282,300.04745,,,
466.61026,277,299.13989,,,
466.78349,282,296.90883,,,
466.95673,329,296.9149,,,
467.12998,305,295.97463,,,
467.30325,297,294.80212,,,
467.47654,310,293.91565,,,
467.64984,330,293.16875,,,
467.82315,274,292.37851,,,
467.99648,266,291.75963,,,
468.16982,302,291.83696,,,
468.34319,303,291.87719,,,
468.51656,299,291.05037,,,
468.68995,272,290.49754,,,
468.86336,292,289.8163,,,
469.03678,284,289.80618,,,
469.21021,255,290.28576,,,
469.38366,287,289.89171,,,
469.55713,255,289.08236,,,
469.73061,302,288.7141,,,
469.9041,262,287.75467,,,
470.07761,303,288.13226,,,
470.25114,316,288.99436,,,
470.42468,317,289.23874,,,
470.59823,276,289.66878,,,
470.7718,286,289.89259,,,
470.94539,297,289.09862,,,
471.11899,300,288.37231,,,
471.29261,294,286.97701,,,
471.46624,271,288.59564,,,
471.63988,296,289.61476,,,
471.81354,302,290.68015,,,
471.98722,296,291.22324,,,
472.16091,296,292.61145,,,
472.33462,291,292.73721,,,
472.50834,286,293.11733,,,
472.68207,281,293.93277,,,
472.85582,290,295.05139,,,
473.02959,283,295.92453,,,
473.20337,293,295.78412,,,
473.37717,296,296.39625,,,
473.55098,292,296.36091,,,
473.72481,301,294.77968,,,
473.89865,294,294.47673,,,
474.0725,302,292.12662,,,
474.24637,292,292.33092,,,
474.42026,303,290.99099,,,
474.59416,280,292.02492,,,
474.76808,313,292.68402,,,
474.94201,283,293.95545,,,
475.11596,282,292.37052,,,
475.28992,310,292.76303,,,
475.46389,303,292.79164,,,
475.63789,333,293.34612,,,
475.81189,283,294.07463,,,
475.98591,282,293.49009,,,
476.15995,271,292.47052,,,
476.334,303,293.54407,,,
476.50807,302,293.81646,,,
476.68215,292,293.10693,,,
476.85625,269,293.29364,,,
477.03036,286,293.73159,,,
477.20449,277,293.41808,,,
477.37863,281,293.34855,,,
477.55279,286,292.88611,,,
